feature,route,page,page_file,screen_level,archetype,body_grade,official_density_score,visual_density_risk_score,visual_density_priority,tokenized_fixed_height_refs,tokenized_gap_refs,spacer_refs,manual_content_refs,bottom_inset_refs,root_top_chrome_refs,detail_top_chrome_refs,scroll_refs,grid_or_wrap_refs,root_causes,recommendation,source_files,unresolved_source_files
trade,AppRoutePaths.trade,TradePage,flutter_app/lib/features/trade/presentation/pages/trade_page.dart,L1_instrumentWorkspace,instrument,B,12,80,P0_CRITICAL_DENSITY_REVIEW,0,10,0,0,23,0,2,3,0,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/trade_page.dart;flutter_app/lib/features/trade/presentation/pages/trade_page_part_01.dart;flutter_app/lib/features/trade/presentation/widgets/trade_formatters.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart;flutter_app/lib/features/trade/presentation/widgets/vit_trade_simple_hero.dart;flutter_app/lib/features/trade/presentation/widgets/vit_trade_simple_order_form.dart;flutter_app/lib/features/trade/presentation/widgets/vit_trade_simple_shell.dart,
earn,AppRoutePaths.earnStakingWithdrawalPolicy,StakingWithdrawalPolicyPage,flutter_app/lib/features/earn/presentation/pages/staking_withdrawal_policy_page.dart,L3_transactionFlow,detail,A,2,79,P0_CRITICAL_DENSITY_REVIEW,0,33,0,0,5,0,1,2,2,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/earn/presentation/pages/staking_withdrawal_policy_page.dart;flutter_app/lib/features/earn/presentation/pages/staking_withdrawal_policy_page_part_01.dart;flutter_app/lib/features/earn/presentation/pages/staking_withdrawal_policy_page_part_02.dart;flutter_app/lib/features/earn/presentation/pages/staking_withdrawal_policy_page_part_03.dart,
trade,AppRoutePaths.tradeCopyExecutionVenueAnalysis,ExecutionVenueAnalysisPage,flutter_app/lib/features/trade/presentation/pages/execution_venue_analysis_page.dart,L2_detail,detail,A,0,76,P0_CRITICAL_DENSITY_REVIEW,0,14,0,0,23,0,2,3,0,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/execution_venue_analysis_page.dart;flutter_app/lib/features/trade/presentation/widgets/execution_venue_common.dart;flutter_app/lib/features/trade/presentation/widgets/execution_venue_comparison.dart;flutter_app/lib/features/trade/presentation/widgets/execution_venue_speed_trends.dart;flutter_app/lib/features/trade/presentation/widgets/execution_venue_summary.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart;flutter_app/lib/features/trade/presentation/widgets/vit_trade_compliance_section.dart,
trade,AppRoutePaths.tradeCopyArmIntegrationStatus,ArmIntegrationStatusPage,flutter_app/lib/features/trade/presentation/pages/arm_integration_status_page.dart,L2_detail,detail,A,0,75,P0_CRITICAL_DENSITY_REVIEW,1,12,0,0,23,0,2,3,0,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/arm_integration_status_page.dart;flutter_app/lib/features/trade/presentation/widgets/arm_integration_common_painter.dart;flutter_app/lib/features/trade/presentation/widgets/arm_integration_providers.dart;flutter_app/lib/features/trade/presentation/widgets/arm_integration_sla_actions.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart;flutter_app/lib/features/trade/presentation/widgets/vit_trade_compliance_section.dart,
trade,AppRoutePaths.tradeCopyEducation,CopyEducationPage,flutter_app/lib/features/trade/presentation/pages/copy_education_page.dart,L2_detail,detail,A,0,74,P0_CRITICAL_DENSITY_REVIEW,0,13,0,0,23,0,2,3,0,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/copy_education_page.dart;flutter_app/lib/features/trade/presentation/widgets/copy_education_page_common.dart;flutter_app/lib/features/trade/presentation/widgets/copy_education_page_sections.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart,
predictions,'/markets/predictions/event/:eventId',PredictionEventDetailPage,flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page.dart,L2_entityDetail,detail,B,8,73,P0_CRITICAL_DENSITY_REVIEW,0,30,0,0,2,0,1,3,4,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page.dart;flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page_part_01.dart;flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page_part_02.dart;flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page_part_03.dart;flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page_part_04.dart;flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page_part_05.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_activity_holders.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_chart.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_comments.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_detail_tabs.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_header.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_order_book.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_related_arena.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_stats_position.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_trade_controls.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_trade_panel.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_order_preview_card.dart,
trade,AppRoutePaths.tradeBotOptimization,BotOptimizationPage,flutter_app/lib/features/trade/presentation/pages/bot_optimization_page.dart,L2_detail,detail,A,0,73,P0_CRITICAL_DENSITY_REVIEW,0,9,0,0,26,0,3,4,0,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/bot_optimization_page.dart;flutter_app/lib/features/trade/presentation/widgets/bot_optimization_page_common.dart;flutter_app/lib/features/trade/presentation/widgets/bot_optimization_page_sections.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart,
trade,AppRoutePaths.tradeCopySettings,CopySettingsPage,flutter_app/lib/features/trade/presentation/pages/copy_settings_page.dart,L2_utilityDetail,detail,A,0,72,P0_CRITICAL_DENSITY_REVIEW,0,12,0,0,23,0,2,3,0,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/copy_settings_page.dart;flutter_app/lib/features/trade/presentation/widgets/copy_settings_contacts_privacy.dart;flutter_app/lib/features/trade/presentation/widgets/copy_settings_controls.dart;flutter_app/lib/features/trade/presentation/widgets/copy_settings_modes.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart,
trade,'/trade/trader/:traderId',TraderProfilePage,flutter_app/lib/features/trade/presentation/pages/trader_profile_page.dart,L2_entityDetail,detail,A,0,72,P0_CRITICAL_DENSITY_REVIEW,0,12,0,0,23,0,2,3,3,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/trader_profile_page.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart;flutter_app/lib/features/trade/presentation/widgets/trader_profile_chart_painters.dart;flutter_app/lib/features/trade/presentation/widgets/trader_profile_hero.dart;flutter_app/lib/features/trade/presentation/widgets/trader_profile_overview.dart;flutter_app/lib/features/trade/presentation/widgets/trader_profile_stats_common.dart;flutter_app/lib/features/trade/presentation/widgets/trader_profile_trades.dart,
trade,AppRoutePaths.tradeBotSecuritySettings,BotSecuritySettingsPage,flutter_app/lib/features/trade/presentation/pages/bot_security_settings_page.dart,L2_utilityDetail,detail,A,1,71,P0_CRITICAL_DENSITY_REVIEW,0,11,0,0,23,0,2,3,0,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/bot_security_settings_page.dart;flutter_app/lib/features/trade/presentation/widgets/bot_security_settings_cards.dart;flutter_app/lib/features/trade/presentation/widgets/bot_security_settings_common.dart;flutter_app/lib/features/trade/presentation/widgets/bot_security_settings_sheets.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart,
trade,AppRoutePaths.tradeMarginLiveMarketDataAnalytics,LiveMarketDataAnalyticsPage,flutter_app/lib/features/trade/presentation/pages/live_market_data_analytics_page.dart,L2_utilityDetail,detail,B,12,71,P0_CRITICAL_DENSITY_REVIEW,0,2,0,0,26,0,3,4,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/trade/presentation/pages/live_market_data_analytics_page.dart;flutter_app/lib/features/trade/presentation/widgets/live_market_data_analytics_widgets.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart,
trade,AppRoutePaths.tradeMarginAdvancedAnalytics,AdvancedAnalyticsPage,flutter_app/lib/features/trade/presentation/pages/advanced_analytics_page.dart,L2_utilityDetail,detail,A,1,70,P0_CRITICAL_DENSITY_REVIEW,0,8,0,0,25,0,3,4,0,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/advanced_analytics_page.dart;flutter_app/lib/features/trade/presentation/pages/advanced_analytics_page_part_01.dart;flutter_app/lib/features/trade/presentation/pages/advanced_analytics_page_part_02.dart;flutter_app/lib/features/trade/presentation/pages/advanced_analytics_page_part_03.dart;flutter_app/lib/features/trade/presentation/pages/advanced_analytics_page_part_04.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart,
trade,AppRoutePaths.tradeBotDrawdownAnalyzer,BotDrawdownAnalyzerPage,flutter_app/lib/features/trade/presentation/pages/bot_drawdown_analyzer_page.dart,L2_detail,detail,A,0,70,P0_CRITICAL_DENSITY_REVIEW,0,11,0,0,23,0,2,3,1,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/bot_drawdown_analyzer_page.dart;flutter_app/lib/features/trade/presentation/widgets/bot_drawdown_analyzer_page_common.dart;flutter_app/lib/features/trade/presentation/widgets/bot_drawdown_analyzer_page_sections.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart,
trade,AppRoutePaths.tradeExecutionQuality,ExecutionQualityDemoPage,flutter_app/lib/features/trade/presentation/pages/execution_quality_demo_page.dart,L2_detail,detail,A,0,70,P0_CRITICAL_DENSITY_REVIEW,0,5,0,1,26,0,3,5,0,vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/execution_quality_demo_page.dart;flutter_app/lib/features/trade/presentation/widgets/execution_quality_common.dart;flutter_app/lib/features/trade/presentation/widgets/execution_quality_overview.dart;flutter_app/lib/features/trade/presentation/widgets/execution_quality_sheets.dart;flutter_app/lib/features/trade/presentation/widgets/execution_quality_tabs.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart,
earn,AppRoutePaths.earnStakingTaxGuide,StakingTaxGuidePage,flutter_app/lib/features/earn/presentation/pages/staking_tax_guide_page.dart,L2_utilityDetail,detail,A,2,69,P0_CRITICAL_DENSITY_REVIEW,0,28,0,0,5,0,1,1,1,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/earn/presentation/pages/staking_tax_guide_page.dart;flutter_app/lib/features/earn/presentation/widgets/staking_tax_guide_calculator.dart;flutter_app/lib/features/earn/presentation/widgets/staking_tax_guide_common.dart;flutter_app/lib/features/earn/presentation/widgets/staking_tax_guide_header.dart;flutter_app/lib/features/earn/presentation/widgets/staking_tax_guide_jurisdictions.dart;flutter_app/lib/features/earn/presentation/widgets/staking_tax_guide_overview.dart,
earn,AppRoutePaths.earnProofOfReserves,StakingProofOfReservesPage,flutter_app/lib/features/earn/presentation/pages/staking_proof_of_reserves_page.dart,L2_detail,detail,A,1,68,P0_CRITICAL_DENSITY_REVIEW,0,28,0,0,5,0,1,2,0,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/earn/presentation/pages/staking_proof_of_reserves_page.dart;flutter_app/lib/features/earn/presentation/pages/staking_proof_of_reserves_page_part_01.dart;flutter_app/lib/features/earn/presentation/pages/staking_proof_of_reserves_page_part_02.dart;flutter_app/lib/features/earn/presentation/pages/staking_proof_of_reserves_page_part_03.dart,
enterprise_states,AppRoutePaths.enterpriseStates,EnterpriseStatesPage,flutter_app/lib/features/enterprise_states/presentation/pages/enterprise_states_page.dart,L2_detail,detail,Tool,16,68,P0_CRITICAL_DENSITY_REVIEW,1,20,0,0,4,0,1,1,0,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/enterprise_states/presentation/pages/enterprise_states_page.dart;flutter_app/lib/features/enterprise_states/presentation/widgets/enterprise_states_hero_tabs.dart;flutter_app/lib/features/enterprise_states/presentation/widgets/enterprise_states_preview_kit.dart;flutter_app/lib/features/enterprise_states/presentation/widgets/enterprise_states_references.dart,
trade,AppRoutePaths.tradeBotRiskDashboard,BotRiskDashboardPage,flutter_app/lib/features/trade/presentation/pages/bot_risk_dashboard_page.dart,L2_sectionHub,detail,A,0,68,P0_CRITICAL_DENSITY_REVIEW,0,10,0,0,23,0,2,3,0,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/bot_risk_dashboard_page.dart;flutter_app/lib/features/trade/presentation/widgets/bot_risk_dashboard_charts.dart;flutter_app/lib/features/trade/presentation/widgets/bot_risk_dashboard_controls.dart;flutter_app/lib/features/trade/presentation/widgets/bot_risk_dashboard_metrics.dart;flutter_app/lib/features/trade/presentation/widgets/bot_risk_dashboard_score.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart,
trade,AppRoutePaths.tradeBotSuitabilityAssessment,BotSuitabilityAssessmentPage,flutter_app/lib/features/trade/presentation/pages/bot_suitability_assessment_page.dart,L3_transactionFlow,detail,A,0,68,P0_CRITICAL_DENSITY_REVIEW,0,10,0,0,23,0,2,3,0,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/bot_suitability_assessment_page.dart;flutter_app/lib/features/trade/presentation/widgets/bot_suitability_breakdown_common.dart;flutter_app/lib/features/trade/presentation/widgets/bot_suitability_questions_info.dart;flutter_app/lib/features/trade/presentation/widgets/bot_suitability_result_score.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart,
trade,AppRoutePaths.tradeConvert,ConvertPage,flutter_app/lib/features/trade/presentation/pages/convert_page.dart,L2_detail,detail,A,0,68,P0_CRITICAL_DENSITY_REVIEW,0,10,0,0,23,0,2,4,0,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/convert_page.dart;flutter_app/lib/features/trade/presentation/pages/convert_page_part_01.dart;flutter_app/lib/features/trade/presentation/pages/convert_page_part_02.dart;flutter_app/lib/features/trade/presentation/widgets/convert_page_amount_widgets.dart;flutter_app/lib/features/trade/presentation/widgets/convert_page_widgets.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart;flutter_app/lib/features/trade/presentation/widgets/vit_trade_confirm_sheet.dart;flutter_app/lib/features/trade/presentation/widgets/vit_trade_simple_shell.dart,
