feature,file,line,fixed_kind,fixed_token,center_align,status,notes
p2p,flutter_app/lib/features/p2p/presentation/widgets/p2p_order_proof_widgets.dart,152,height,AppSpacing.buttonHero + AppSpacing.x4,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/widgets/p2p_order_proof_widgets.dart,227,height,AppSpacing.p2pFinancialSafetyProofThumb,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/widgets/p2p_payment_methods_page_sections.dart,157,minHeight,AppSpacing.p2pPaymentMethodsListCardMinExtent,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/widgets/p2p_tax_reporting_page_sections.dart,163,minHeight,AppSpacing.ctaHeight,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/widgets/p2p_wallet_hero.dart,132,minHeight,_p2pWalletActionMinHeight,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/widgets/p2p_wallet_transfer_form.dart,262,minHeight,_p2pTransferAssetTileMinHeight,default-start,fail,missing_content_align_center
predictions,flutter_app/lib/features/predictions/presentation/widgets/prediction_data_integration_common.dart,122,height,AppSpacing.predictionDataInlineButtonSize,default-start,fail,missing_content_align_center
predictions,flutter_app/lib/features/predictions/presentation/widgets/prediction_portfolio_orders.dart,195,height,AppSpacing.predictionPortfolioOrderCancelHeight,default-start,fail,missing_content_align_center
predictions,flutter_app/lib/features/predictions/presentation/widgets/predictions_rewards_table.dart,132,height,VitDensity.compact.controlHeight - AppSpacing.x3,default-start,fail,missing_content_align_center
rewards,flutter_app/lib/features/rewards/presentation/pages/rewards_hub_page_part_02.dart,281,minHeight,AppSpacing.buttonHero + AppSpacing.x7 + AppSpacing.x5,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/pages/client_categorization_page_part_03.dart,19,minHeight,VitDensity.compact.controlHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/pages/client_categorization_page_part_03.dart,98,height,size,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/pages/kid_generator_page.dart,173,height,_kidPreviewIconBox,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/pages/kid_generator_page.dart,242,height,_kidMetricHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/pages/ombudsman_referral_page.dart,127,height,_ombudsmanIntroIconExtent,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/pages/ombudsman_referral_page.dart,275,height,_ombudsmanContactIconExtent,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/pages/ombudsman_referral_page.dart,331,height,_ombudsmanStepMarkerExtent,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/pages/regulatory_reports_dashboard_page_part_01.dart,216,minHeight,AppSpacing.x7 + AppSpacing.x5,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/pages/regulatory_reports_dashboard_page_part_02.dart,17,minHeight,VitDensity.compact.controlHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/pages/regulatory_reports_dashboard_page_part_02.dart,25,height,AppSpacing.x3,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/pages/regulatory_reports_dashboard_page_part_02.dart,103,height,AppSpacing.tradeBotCorrelationLegendDot,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/pages/regulatory_reports_dashboard_page_part_02.dart,335,height,AppSpacing.tradeBotQuestionIconBox,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/pages/regulatory_reports_dashboard_page_part_02.dart,414,height,AppSpacing.x2,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/pages/regulatory_reports_dashboard_page_part_03.dart,19,minHeight,VitDensity.compact.controlHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/pages/trading_bots_page_part_03.dart,239,minHeight,AppSpacing.inputHeight - AppSpacing.formFieldLabelGap,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/advanced_chart_area_actions.dart,228,height,AppSpacing.inputHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/advanced_chart_area_actions.dart,242,height,AppSpacing.tradeReceiptStatusIcon,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/advanced_chart_area_actions.dart,264,height,AppSpacing.tradeBotCheckbox,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/advanced_chart_header_toolbar.dart,254,height,AppSpacing.buttonCompact - AppSpacing.hairlineStroke,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/advanced_tools_common.dart,68,height,size,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/advanced_tools_tabs_sheets.dart,194,height,_toolsMetricRowHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/advanced_trading_demo_page_sections.dart,158,minHeight,_advancedActionMinExtent,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/arm_integration_providers.dart,42,height,AppSpacing.inputHeight - AppSpacing.x3,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/audit_trail_page_common.dart,11,minHeight,AppSpacing.buttonHero,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/audit_trail_page_common.dart,18,height,AppSpacing.tradeToolIconTileSm,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/audit_trail_page_sections.dart,70,height,AppSpacing.tradeToolMetricHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/bot_backtesting_widgets.dart,165,height,AppSpacing.buttonCompact,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/bot_backtesting_widgets.dart,265,height,AppSpacing.tradeBotControlTall,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/bot_emergency_stop_page_sections.dart,10,minHeight,AppSpacing.buttonHero,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/bot_emergency_stop_page_sections.dart,19,height,AppSpacing.x6,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/bot_emergency_stop_page_sections.dart,66,minHeight,AppSpacing.buttonStandard,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/bot_emergency_stop_page_sections.dart,133,minHeight,AppSpacing.buttonStandard,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/bot_guide_strategies.dart,56,height,AppSpacing.buttonCompact,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/bot_history_page_sections.dart,80,height,VitDensity.compact.controlHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/bot_optimization_page_sections.dart,92,minHeight,AppSpacing.buttonStandard,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/bot_performance_metrics_summary.dart,185,minHeight,_analyticsMetricMinExtent,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/bot_risk_disclosure_page_sections.dart,118,height,_riskIconTile,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/bot_suitability_questions_info.dart,106,height,AppSpacing.buttonCompact,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/bot_tax_reporting_common.dart,27,height,AppSpacing.tradeBotCheckbox,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/bot_terms_of_service_page_common.dart,38,minHeight,_termsComplianceMinExtent,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/bot_terms_of_service_page_sections.dart,10,minHeight,_termsInfoMinExtent,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/bot_terms_of_service_page_sections.dart,65,height,_termsCardExtent,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/bot_terms_of_service_page_sections.dart,225,minHeight,_termsWarningMinExtent,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/bot_terms_of_service_page_sections.dart,271,minHeight,_termsAgreementMinExtent,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/cass_reconciliation_records_common.dart,21,height,_recordIconTile,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/client_money_protection_page_common.dart,105,height,AppSpacing.tradeBotClientMoneyDocumentIcon,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/client_money_protection_page_sections.dart,62,height,AppSpacing.tradeBotClientMoneyBalanceIcon,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/complaint_submission_page_common.dart,11,height,_submissionFooterHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/complaint_submission_page_sections.dart,90,height,_submissionCategoryHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/complaint_submission_page_sections.dart,222,height,_submissionEvidenceIconSize,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/convert_page_amount_widgets.dart,272,height,AppSpacing.convertControlHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/convert_page_widgets.dart,33,height,AppSpacing.buttonCompact,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_audit_log_events.dart,17,height,_auditEventIconExtent,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_audit_log_events.dart,130,height,_auditMetadataConfigExtent,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_audit_log_summary.dart,88,height,_auditSummaryCardExtent,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_education_page_sections.dart,10,minHeight,AppSpacing.copyEducationIntroMinHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_education_page_sections.dart,223,minHeight,AppSpacing.copyEducationModeMinHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_notifications_page_sections.dart,14,height,AppSpacing.tradeBotSheetActionHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_notifications_page_sections.dart,108,height,AppSpacing.buttonStandard - AppSpacing.hairlineStroke,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_performance_summary_tabs.dart,120,height,_performanceReturnCardHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_performance_summary_tabs.dart,166,height,_performanceTabsHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_safety_overview.dart,10,minHeight,_safetyHeroMinHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_safety_overview.dart,17,height,AppSpacing.walletTokenHeroIcon,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_safety_overview.dart,76,height,_safetyTabsHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_safety_overview.dart,169,minHeight,_safetyTierMinHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_trading_list.dart,422,height,AppSpacing.copyTradingV2TraderAvatarSize,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_trading_list.dart,444,height,AppSpacing.copyTradingV2TraderTierBadgeSize,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_trading_list.dart,612,height,AppSpacing.copyTradingV2DetailsButtonHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_trading_v2_variant_hero.dart,16,minHeight,_copyVariantMinHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_trading_v2_variant_hero.dart,68,height,_copyVariantButtonHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_trading_v2_variant_hero.dart,112,minHeight,_copyGlassHeroMinHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_trading_v2_variant_hero.dart,190,minHeight,_copyBoldHeroMinHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_trading_v2_variant_hero.dart,263,height,_copyHeroIconBox,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_trading_v2_variant_hero.dart,295,height,_copyGlassStatHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_trading_v2_variant_hero.dart,309,height,_copyGlassStatIconBox,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/copy_trading_v2_variant_hero.dart,360,height,_copyBoldStatHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/dispute_resolution_cases.dart,61,height,AppSpacing.dividerHairline,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/dispute_resolution_form.dart,156,minHeight,AppSpacing.tradeBotOptionMinHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/dispute_resolution_form.dart,206,minHeight,AppSpacing.tradeBotControlCompact,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/ex_ante_costs_overview.dart,125,height,_costTabExtent,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/ex_ante_costs_summary_breakdown.dart,91,height,_costSwatchExtent,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/ex_ante_costs_summary_breakdown.dart,149,height,_costIconTile,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/ex_post_costs_report_summary.dart,104,minHeight,VitDensity.compact.controlHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/execution_quality_common.dart,64,height,size,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/execution_quality_sheets.dart,174,height,AppSpacing.tradeToolRiskTabHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/execution_venue_comparison.dart,38,height,AppSpacing.buttonCompact,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/investor_compensation_page_common.dart,119,height,AppSpacing.x6,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/investor_compensation_page_sections.dart,18,height,AppSpacing.x7 + AppSpacing.x1,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/leverage_header_hero_risk.dart,11,height,_leverageHeroHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/live_market_common_widgets.dart,103,height,height,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/live_market_common_widgets.dart,133,minHeight,AppSpacing.liveMarketMetricMinHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/margin_trading_hub_cards.dart,18,height,_hubIconTile,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/margin_trading_hub_hero_nav.dart,19,height,_hubHeroIconTile,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/margin_trading_hub_hero_nav.dart,182,height,_hubIconTile,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/order_receipt_page_sections.dart,18,height,_receiptHeroExtent,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/performance_scenarios_outcome_widgets.dart,26,height,_scenarioIconTile,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/portfolio_risk_analysis_page_sections.dart,74,height,_riskSummaryExtent,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/portfolio_risk_analysis_page_sections.dart,229,height,_riskAssetRowExtent,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/portfolio_risk_analysis_page_sections.dart,235,height,_riskSwatchExtent,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/product_governance_reviews_distribution.dart,106,height,AppSpacing.buttonCompact,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/provider_application_progress_intro.dart,196,height,AppSpacing.buttonCompact - AppSpacing.x1 + AppSpacing.hairlineStroke,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/provider_governance_page_overview.dart,18,height,AppSpacing.inputHeight - AppSpacing.x3,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/provider_leaderboard_cards.dart,18,height,redFlags.isEmpty,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/provider_leaderboard_controls.dart,162,height,_leaderControlExtent,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/regulatory_inspection_ready_page_common.dart,17,height,AppSpacing.buttonCompact,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/regulatory_inspection_ready_page_common.dart,79,height,AppSpacing.buttonCompact,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/regulatory_inspection_ready_page_sections.dart,20,height,AppSpacing.buttonCompact,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/risk_management_common.dart,42,height,size,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/safety_education_page_sections.dart,15,height,AppSpacing.tradeBotClientCategoryIcon,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/safety_education_page_sections.dart,138,minHeight,AppSpacing.tradeBotControlTall,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/slippage_monitoring_events.dart,37,height,AppSpacing.inputHeight - AppSpacing.x4,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/trade_history_export_footer.dart,69,height,VitDensity.compact.controlHeight,default-start,fail,missing_content_align_center
trade,flutter_app/lib/features/trade/presentation/widgets/trade_history_export_selectors_includes.dart,53,height,_exportFormatExtent,default-start,fail,missing_content_align_center
