module,file,constant_name,value,core_token
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCalendarLegendDot,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCalendarLegendGap,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCalendarLegendRunSpacing,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCalendarMiniStatValueGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCalendarStatsGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCorrelationsAssetDotGap,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCorrelationsChipGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCorrelationsDisclaimerIconGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCorrelationsHeroMetaGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCorrelationsHeroProgressHeight,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCorrelationsHeroScaleGap,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCorrelationsInfoTitleGap,3,AppSpacing.x1
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCorrelationsMetricValueGap,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCorrelationsRecommendationTitleGap,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCorrelationsScoreBarHeight,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketDepthPainterDashGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketDepthPainterPadding,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketDepthRatioBarHeight,21,AppSpacing.x5
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketDerivativesHeroDeltaBottom,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketDerivativesMetricGap,3,AppSpacing.x1
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketDerivativesPairAvatarMd,34,AppSpacing.x6
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketDerivativesSortGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketDerivativesStatGridGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketDerivativesSummaryLabelGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketDerivativesTimelineItemGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketDerivativesTimelineTimeGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketDiscoverLabelGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketDiscoverSubtitleGap,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketFilterChipMinHeight,34,AppSpacing.x6
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketFilterGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketHeatmapFilterHeight,34,AppSpacing.x6
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketMoverIdentityBadgeGap,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketMoverRowGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketNewsBreakingDot,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketNewsBreakingTokenGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketNewsCardIconGlyph,21,AppSpacing.x5
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketNewsCardTagGap,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketNewsExpandedTokenGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketNewsFilterGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketNewsSaveGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketNewsSentimentIconGap,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketNewsTagIcon,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketOverviewMoverPriceWidth,34,AppSpacing.x6
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketPairAvatar,34,AppSpacing.x6
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketPairFavoriteGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketPairPriceGap,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketScreenerAdvancedCategoryGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketScreenerCategoryChipHeight,34,AppSpacing.x6
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketScreenerPresetGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketScreenerPresetIconGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketScreenerTextGap,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketScreenerTrendGap,3,AppSpacing.x1
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketSectorCardIconGlyph,21,AppSpacing.x5
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketSectorChipGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketSectorComparisonMarker,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketSectorComparisonMarkerGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketSectorComparisonRowHeight,34,AppSpacing.x6
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketSectorControlChipGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketSectorLegendDot,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketSectorLegendGap,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketSocialCategoryHeight,34,AppSpacing.x6
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketSocialGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketSocialSectionBarWidth,3,AppSpacing.x1
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketToolGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketToolHeight,34,AppSpacing.x6
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,pairHeaderChevronGap,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,pairHeaderTrailingGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,pairIndicatorGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,pairTradeButtonHeight,55,AppSpacing.x7
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,pairViewTabGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,portfolioTrackerAllocationDonutInset,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,portfolioTrackerChipGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,portfolioTrackerHeroPnlIconGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,portfolioTrackerHoldingSparklineGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,portfolioTrackerLegendGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,portfolioTrackerMiniStatValueGap,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,portfolioTrackerPerformanceTopPadding,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,portfolioTrackerQuickStatGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,portfolioTrackerRiskCopyGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,portfolioTrackerRiskProgressHeight,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,portfolioTrackerRiskProgressLabelGap,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,portfolioTrackerSummaryGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,priceAlertsActionGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,priceAlertsAddGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,priceAlertsEmptyIcon,34,AppSpacing.x6
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,priceAlertsFilterGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,priceAlertsSectionGap,13,AppSpacing.x4
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,priceAlertsToggleIcon,34,AppSpacing.x6
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,priceAlertsTriggeredGap,13,AppSpacing.x4
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,socialSentimentHeroGaugeHeight,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,socialSentimentLeaderboardGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,socialSentimentSortGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,socialSentimentStatGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,socialSentimentStatValueGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,socialSentimentStatusShadowBlur,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,socialSentimentTimelineRowGap,3,AppSpacing.x1
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,socialSentimentTimelineTimeGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,socialSentimentTopicGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,socialSentimentVelocityBarHeight,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,tokenInfoDisclaimerIconGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,tokenInfoDistributionDotGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,tokenInfoInfoIcon,13,AppSpacing.x4
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,tokenInfoOnchainIconGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,tokenInfoProjectLinkGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,tokenInfoRecordDeltaGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,tokenInfoRecordIcon,13,AppSpacing.x4
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,tokenInfoSupplyProgressGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,tokenUnlocksCategoryDotGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,tokenUnlocksCategoryProgressHeight,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,tokenUnlocksEmptyIcon,34,AppSpacing.x6
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,tokenUnlocksImpactStatGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,tokenUnlocksPriceWarningIconGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,tokenUnlocksScheduleGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,tokenUnlocksSectionBarWidth,3,AppSpacing.x1
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,tokenUnlocksSectionHeaderGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,tokenUnlocksVestingBottomGap,13,AppSpacing.x4
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,tokenUnlocksWarningTitleGap,3,AppSpacing.x1
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,watchlistActionGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,watchlistStatGap,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,watchlistTinyGap,3,AppSpacing.x1
news,flutter_app/lib/app/theme/spacing/news_spacing_tokens.dart,newsSheetCalendarIconSize,13,AppSpacing.x4
p2p,flutter_app/lib/app/theme/spacing/p2p_spacing_tokens.dart,p2pBlacklistAvatarBadgeIcon,8,AppSpacing.x3
p2p,flutter_app/lib/app/theme/spacing/p2p_spacing_tokens.dart,p2pChatCloseIcon,13,AppSpacing.x4
p2p,flutter_app/lib/app/theme/spacing/p2p_spacing_tokens.dart,p2pComplianceChecklistIcon,13,AppSpacing.x4
p2p,flutter_app/lib/app/theme/spacing/p2p_spacing_tokens.dart,p2pDocumentTinyIcon,13,AppSpacing.x4
p2p,flutter_app/lib/app/theme/spacing/p2p_spacing_tokens.dart,p2pFraudDetailIcon,13,AppSpacing.x4
p2p,flutter_app/lib/app/theme/spacing/p2p_spacing_tokens.dart,p2pHomeVerifiedIcon,13,AppSpacing.x4
p2p,flutter_app/lib/app/theme/spacing/p2p_spacing_tokens.dart,p2pInsuranceScoreFactorIconBox,34,AppSpacing.x6
p2p,flutter_app/lib/app/theme/spacing/p2p_spacing_tokens.dart,p2pInsuranceScoreProgressHeight,5,AppSpacing.x2
p2p,flutter_app/lib/app/theme/spacing/p2p_spacing_tokens.dart,p2pInsuranceScoreRingStroke,8,AppSpacing.x3
p2p,flutter_app/lib/app/theme/spacing/p2p_spacing_tokens.dart,p2pMerchantCommerceSmallIcon,13,AppSpacing.x4
p2p,flutter_app/lib/app/theme/spacing/p2p_spacing_tokens.dart,p2pOrderSmallButtonIcon,13,AppSpacing.x4
p2p,flutter_app/lib/app/theme/spacing/p2p_spacing_tokens.dart,p2pPaymentVerifiedIcon,13,AppSpacing.x4
p2p,flutter_app/lib/app/theme/spacing/p2p_spacing_tokens.dart,p2pSecurityDetailsBullet,5,AppSpacing.x2
p2p,flutter_app/lib/app/theme/spacing/p2p_spacing_tokens.dart,p2pSecurityDetailsCheckIcon,13,AppSpacing.x4
p2p,flutter_app/lib/app/theme/spacing/p2p_spacing_tokens.dart,p2pTrustProgressIcon,21,AppSpacing.x5
p2p,flutter_app/lib/app/theme/spacing/p2p_spacing_tokens.dart,p2pTrustProgressTourStepHeight,3,AppSpacing.x1
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionActivityActorRunSpacing,3,AppSpacing.x1
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionActivityActorSpacing,5,AppSpacing.x2
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionActivityFilterIcon,13,AppSpacing.x4
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionActivityStatHeight,55,AppSpacing.x7
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionAdvancedLevelValueGap,5,AppSpacing.x2
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionAnalyzerRiskBarHorizontal,5,AppSpacing.x2
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionAnalyzerScoreSuffixGap,5,AppSpacing.x2
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionAnalyzerSummaryMetricGap,5,AppSpacing.x2
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionBreakingCountIcon,13,AppSpacing.x4
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionBreakingMetaRunGap,5,AppSpacing.x2
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionCalendarTimeIconGap,5,AppSpacing.x2
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionDataHeaderRunGap,5,AppSpacing.x2
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionDataMetricIconGap,5,AppSpacing.x2
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionDataPermissionsTopGap,13,AppSpacing.x4
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionDetailInfoIcon,13,AppSpacing.x4
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionDetailPositionIcon,13,AppSpacing.x4
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionDetailRiskIcon,13,AppSpacing.x4
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionDetailTabHeight,34,AppSpacing.x6
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionLeaderboardMetricIcon,13,AppSpacing.x4
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionLeaderboardMetricIconGap,5,AppSpacing.x2
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionLeaderboardRankBadge,21,AppSpacing.x5
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionLeaderboardWinMarketGap,3,AppSpacing.x1
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionMarketMakerHelperGap,5,AppSpacing.x2
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionPortfolioOrdersHelpIcon,13,AppSpacing.x4
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionPortfolioPnlArrowIcon,13,AppSpacing.x4
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionPortfolioPnlIcon,13,AppSpacing.x4
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionReceiptSummaryTrailingGap,5,AppSpacing.x2
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionRewardsArenaLabelGap,5,AppSpacing.x2
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionRewardsFilterIconGap,5,AppSpacing.x2
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionRewardsHeroTitleGap,13,AppSpacing.x4
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionRewardsPoolIcon,13,AppSpacing.x4
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionRewardsRiskIcon,13,AppSpacing.x4
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionRiskGuideTitleGap,5,AppSpacing.x2
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionSearchSortChipHeight,34,AppSpacing.x6
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionSocialActionIconGap,5,AppSpacing.x2
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionSocialPreviewTitleGap,5,AppSpacing.x2
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionTournamentDividerTopGap,13,AppSpacing.x4
predictions,flutter_app/lib/app/theme/spacing/predictions_spacing_tokens.dart,predictionTournamentLeaderboardWinnerIcon,21,AppSpacing.x5
profile,flutter_app/lib/app/theme/spacing/profile_spacing_tokens.dart,profileActivityCardGap,13,AppSpacing.x4
profile,flutter_app/lib/app/theme/spacing/profile_spacing_tokens.dart,profileActivityDetailIconGap,5,AppSpacing.x2
profile,flutter_app/lib/app/theme/spacing/profile_spacing_tokens.dart,profileActivityDetailsGap,13,AppSpacing.x4
profile,flutter_app/lib/app/theme/spacing/profile_spacing_tokens.dart,profileActivityFilterGap,13,AppSpacing.x4
profile,flutter_app/lib/app/theme/spacing/profile_spacing_tokens.dart,profileApiCreatePermissionIconGap,13,AppSpacing.x4
profile,flutter_app/lib/app/theme/spacing/profile_spacing_tokens.dart,profileApiDocsTitleGap,5,AppSpacing.x2
profile,flutter_app/lib/app/theme/spacing/profile_spacing_tokens.dart,profileApiUsageGap,13,AppSpacing.x4
profile,flutter_app/lib/app/theme/spacing/profile_spacing_tokens.dart,profileDevicesActionDividerGap,13,AppSpacing.x4
profile,flutter_app/lib/app/theme/spacing/profile_spacing_tokens.dart,profileDevicesCardGap,13,AppSpacing.x4
profile,flutter_app/lib/app/theme/spacing/profile_spacing_tokens.dart,profileDevicesMetaRunSpacing,5,AppSpacing.x2
profile,flutter_app/lib/app/theme/spacing/profile_spacing_tokens.dart,profileProductIconBox,34,AppSpacing.x6
profile,flutter_app/lib/app/theme/spacing/profile_spacing_tokens.dart,profileSubAccountActionsGap,13,AppSpacing.x4
profile,flutter_app/lib/app/theme/spacing/profile_spacing_tokens.dart,profileSubAccountAvatarGap,13,AppSpacing.x4
profile,flutter_app/lib/app/theme/spacing/profile_spacing_tokens.dart,profileSubAccountCardGap,13,AppSpacing.x4
profile,flutter_app/lib/app/theme/spacing/profile_spacing_tokens.dart,profileSubAccountCreateFormGap,13,AppSpacing.x4
profile,flutter_app/lib/app/theme/spacing/profile_spacing_tokens.dart,profileSubAccountDetailsMetricGap,13,AppSpacing.x4
